mjd,t_from_discovery,Lum,dLum0,dLum1
54555.925,14.925,3.10456E+41,4.35414E+40,4.35414E+40
54557.9,16.9,2.81838E+41,3.43895E+40,3.43895E+40
54558.924,17.924,2.71644E+41,2.89637E+40,2.89637E+40
54560.894,19.894,2.52348E+41,3.07911E+40,3.07911E+40
54561.892,20.892,2.42661E+41,2.52558E+40,2.52558E+40
54564.93,23.93,2.36592E+41,3.00939E+40,3.00939E+40
54565.928,24.928,2.34423E+41,2.49951E+40,2.49951E+40
54576.931,35.931,2.43781E+41,2.66148E+40,2.66148E+40
54580.84,39.84,2.47172E+41,2.95218E+40,2.95218E+40
54588.902,47.902,2.53513E+41,2.44585E+40,2.44585E+40
54589.826,48.826,2.51189E+41,2.48691E+40,2.48691E+40
54598.804,57.804,2.61216E+41,2.65237E+40,2.65237E+40
54600.794,59.794,2.58226E+41,2.68758E+40,2.68758E+40
54601.794,60.794,2.61818E+41,2.65848E+40,2.65848E+40
54610.774,69.774,2.73527E+41,2.77737E+40,2.77737E+40
54616.76,75.76,2.67301E+41,2.78203E+40,2.78203E+40
54628.779,87.779,2.78612E+41,2.75842E+40,2.75842E+40
54629.783,88.783,2.81838E+41,3.22126E+40,3.22126E+40
54634.807,93.807,2.69153E+41,2.59674E+40,2.59674E+40
54639.792,98.792,2.6485E+41,2.75652E+40,2.75652E+40
54641.785,100.785,2.62422E+41,2.59813E+40,2.59813E+40
54645.803,104.803,2.58226E+41,2.62201E+40,2.62201E+40
54648.815,107.815,2.51189E+41,2.48691E+40,2.48691E+40
54654.752,113.752,2.4322E+41,2.59331E+40,2.59331E+40
54662.763,121.763,2.26464E+41,2.12778E+40,2.12778E+40
54663.776,122.776,2.21309E+41,2.19109E+40,2.19109E+40
54670.869,129.869,1.94984E+41,2.079E+40,2.079E+40
54671.87,130.87,1.75388E+41,1.78088E+40,1.78088E+40
54674.742,133.742,1.16681E+41,1.54486E+40,1.54486E+40
54683.776,142.776,4.13048E+40,7.67913E+38,7.67913E+38
54684.707,143.707,4.22669E+40,7.858E+38,7.858E+38
54687.693,146.693,3.92645E+40,7.29981E+38,7.29981E+38
54691.679,150.679,3.89942E+40,7.24956E+38,7.24956E+38
54692.82,151.82,3.80189E+40,7.06825E+38,7.06825E+38
54699.668,158.668,3.33426E+40,6.19886E+38,6.19886E+38
54706.617,165.617,3.14051E+40,5.83864E+38,5.83864E+38
54708.613,167.613,2.99916E+40,5.57586E+38,5.57586E+38
54716.62,175.62,2.76694E+40,5.14413E+38,5.14413E+38
54722.608,181.608,2.69153E+40,5.00394E+38,5.00394E+38
