t_from_discovery,line,absorption_mean_velocity,absorption_std_velocity
16,FeII 5169,8600,150
20,FeII 5169,7700,150
26,FeII 5169,6555,150
31,FeII 5169,5600,150
45,FeII 5169,4500,150
55,FeII 5169,4150,150
61,FeII 5169,3500,150
66,FeII 5169,3500,150
104,FeII 5169,2900,150
26.16,FeII 5169,6650.6,150
31.31,FeII 5169,5397.59,150
42.82,FeII 5169,4710.84,150
48.09,FeII 5169,4325.3,150
50.23,FeII 5169,4216.86,150
58.82,FeII 5169,3843.37,150
79.91,FeII 5169,3433.73,150
94.74,FeII 5169,2915.66,150
