mjd,t_from_discovery,Lum,dLum0,dLum1
58213.1,5.1,1E+42,2.53141E+41,2.53141E+41
58226.98,18.98,5.97035E+41,1.65044E+41,1.65044E+41
58235.05,27.05,5.17607E+41,1.17724E+41,1.17724E+41
58240.96,32.96,5.33335E+41,1.35009E+41,1.35009E+41
58244.95,36.95,5.42001E+41,1.23272E+41,1.23272E+41
58250.97,42.97,5.34564E+41,1.06645E+41,1.06645E+41
58256.93,48.93,5.30884E+41,1.20744E+41,1.20744E+41
58268.92,60.92,4.86407E+41,9.70379E+40,9.70379E+40
58272.96,64.96,5.04661E+41,1.27751E+41,1.27751E+41
58324.9,116.9,6.3387E+40,1.35261E+40,1.35261E+40
