TIME	LOGL	VPH
0.000000000000000000e+00 3.530211744121476158e+01 2.509363715338016063e-07
1.000000000000000021e-02 3.550003217014167944e+01 2.736652252232329374e+02
2.000000000000000042e-02 3.572289652072647925e+01 6.289435274788892229e+02
2.999999999999999889e-02 3.601235758688692101e+01 1.059249573169729729e+03
4.000000000000000083e-02 3.640041304352934759e+01 1.562006737661904481e+03
5.000000000000000278e-02 3.689606332865672300e+01 2.141517030570591942e+03
5.999999999999999778e-02 3.713512328420333830e+01 2.794982105693556150e+03
7.000000000000000666e-02 3.724700942332251685e+01 3.506441500957574135e+03
8.000000000000000167e-02 3.737816861616903452e+01 4.268439541677317720e+03
8.999999999999999667e-02 3.730869133227305667e+01 5.069424471157914013e+03
1.000000000000000056e-01 3.718894858590805796e+01 5.895580648118786485e+03
1.100000000000000006e-01 3.709020817626680611e+01 6.744074726118470608e+03
1.199999999999999956e-01 3.700660399126114442e+01 7.607640645904185476e+03
1.300000000000000044e-01 3.693414707725901280e+01 8.484719083125666657e+03
1.400000000000000133e-01 3.687025423138059921e+01 9.372003642507521363e+03
1.499999999999999944e-01 3.681315806151032177e+01 1.026830501692111284e+04
1.600000000000000033e-01 3.676159061033050079e+01 1.117261657363565610e+04
1.700000000000000122e-01 3.671460945750387594e+01 1.208389672023547246e+04
1.799999999999999933e-01 3.663652031736847192e+01 1.300104910353012747e+04
1.900000000000000022e-01 3.652105855829323389e+01 1.392370688874507687e+04
2.000000000000000111e-01 3.641974286637177016e+01 1.485137011481668196e+04
2.099999999999999922e-01 3.634129441489744750e+01 1.578416999058222973e+04
2.200000000000000011e-01 3.629935264687463814e+01 1.672000281506710962e+04
2.300000000000000100e-01 3.625260655809853461e+01 1.766153064961393466e+04
2.399999999999999911e-01 3.616818527212139145e+01 1.860599643505713175e+04
2.500000000000000000e-01 3.609329742715112133e+01 1.955294746531784040e+04
2.600000000000000089e-01 3.602704513884898319e+01 2.050408320747415564e+04
2.700000000000000178e-01 3.598043294404217818e+01 2.145683500431550783e+04
2.800000000000000266e-01 3.595387964425223970e+01 2.241399294243773329e+04
2.899999999999999800e-01 3.593673811163800735e+01 2.337266370462691339e+04
2.999999999999999889e-01 3.592143540809479418e+01 2.433315253850185763e+04
3.099999999999999978e-01 3.590774875986737413e+01 2.529741812761133770e+04
3.200000000000000067e-01 3.589549368773148075e+01 2.626233877613817094e+04
3.300000000000000155e-01 3.588450575677936172e+01 2.723074713179045648e+04
3.400000000000000244e-01 3.587464486332478231e+01 2.819948813018845249e+04
3.500000000000000333e-01 3.586638507011313948e+01 2.917145928993719281e+04
3.599999999999999867e-01 3.586422414178425555e+01 3.014359662923964061e+04
3.699999999999999956e-01 3.586226853069649678e+01 3.111886338425297799e+04
3.800000000000000044e-01 3.586098060599210413e+01 3.209475885858685797e+04
3.900000000000000133e-01 3.586060024293649917e+01 3.307326815713673568e+04
4.000000000000000222e-01 3.586029210820782254e+01 3.405205935701016278e+04
4.100000000000000311e-01 3.586004017162296975e+01 3.503256625065019762e+04
4.199999999999999845e-01 3.585984901281586446e+01 3.601393199468044622e+04
4.299999999999999933e-01 3.585969881998985187e+01 3.699683138571536983e+04
4.400000000000000022e-01 3.585959980056694718e+01 3.798163132666773890e+04
4.500000000000000111e-01 3.585954569924955848e+01 3.896609970914034056e+04
4.600000000000000200e-01 3.585952740553783968e+01 3.995262212759676186e+04
4.700000000000000289e-01 3.585974095229568803e+01 4.094005838130267512e+04
4.799999999999999822e-01 3.586061146475994121e+01 4.192733254108209076e+04
4.899999999999999911e-01 3.586147684579851358e+01 4.291750550917094370e+04
5.000000000000000000e-01 3.586232284465702946e+01 4.390704882335644652e+04
5.100000000000000089e-01 3.586315365567998015e+01 4.489747773512643471e+04
5.200000000000000178e-01 3.586423643721623478e+01 4.588997215568720276e+04
5.300000000000000266e-01 3.586606547750825058e+01 4.688221447971523594e+04
5.400000000000000355e-01 3.586787081902605934e+01 4.787546380480664084e+04
5.500000000000000444e-01 3.586963814418898977e+01 4.886933058322171564e+04
5.600000000000000533e-01 3.587137766439560238e+01 4.986381270157466497e+04
5.700000000000000622e-01 3.587308288742238460e+01 5.085921308374556975e+04
5.799999999999999600e-01 3.587476294850458203e+01 5.185495860704715597e+04
5.899999999999999689e-01 3.587641897953029968e+01 5.285125415491732565e+04
5.999999999999999778e-01 3.587804229086960817e+01 5.384756001122465386e+04
6.099999999999999867e-01 3.587964074668897752e+01 5.484579572276020917e+04
6.199999999999999956e-01 3.588036979560948936e+01 5.584365916149589611e+04
6.300000000000000044e-01 3.587671429349135366e+01 5.684111775343534828e+04
6.400000000000000133e-01 3.587337159949141352e+01 5.784056708819510095e+04
6.500000000000000222e-01 3.587054518289490801e+01 5.883821103568143008e+04
6.600000000000000311e-01 3.586779182910560593e+01 5.983799797658262105e+04
6.700000000000000400e-01 3.586510604190781493e+01 6.083813864441460464e+04
6.800000000000000488e-01 3.586249215991819739e+01 6.183797489117355872e+04
6.900000000000000577e-01 3.585993797452212561e+01 6.284011118567115045e+04
7.000000000000000666e-01 3.585744374591228478e+01 6.384012424170797021e+04
7.099999999999999645e-01 3.585501246637949180e+01 6.484186658418391016e+04
7.199999999999999734e-01 3.585263955006859504e+01 6.584445794813967950e+04
7.299999999999999822e-01 3.585032061328276143e+01 6.684410803036611469e+04
7.399999999999999911e-01 3.584178390179529572e+01 6.784847585607426299e+04
7.500000000000000000e-01 3.581557031969676075e+01 6.885021916525081906e+04
7.600000000000000089e-01 3.579050793404895359e+01 6.985275641226758307e+04
7.700000000000000178e-01 3.576484271174382457e+01 7.085642598527148948e+04
7.800000000000000266e-01 3.574114479886168283e+01 7.185735041835065931e+04
7.900000000000000355e-01 3.571937528678240881e+01 7.286241503820482467e+04
8.000000000000000444e-01 3.569947792239071305e+01 7.386387880494864658e+04
8.100000000000000533e-01 3.568135027096641210e+01 7.486860236392209481e+04
8.200000000000000622e-01 3.566490033853204267e+01 7.587207939890306443e+04
8.300000000000000711e-01 3.565000687509074595e+01 7.687468873230979079e+04
8.399999999999999689e-01 3.563656941608220308e+01 7.787967685193732905e+04
8.499999999999999778e-01 3.562445312257323593e+01 7.888234650038328255e+04
8.599999999999999867e-01 3.561354101750178813e+01 7.988681386306477361e+04
8.699999999999999956e-01 3.560372242834839795e+01 8.088764764232953894e+04
8.800000000000000044e-01 3.559488278288145580e+01 8.189392421871688566e+04
8.900000000000000133e-01 3.558690352522764044e+01 8.289726688291839673e+04
9.000000000000000222e-01 3.557972516464265311e+01 8.390139787955628708e+04
9.100000000000000311e-01 3.555823740162407631e+01 8.490429673156398349e+04
9.200000000000000400e-01 3.553761876486105109e+01 8.590850823532992217e+04
9.300000000000000488e-01 3.551852138117208568e+01 8.691314085286350746e+04
9.400000000000000577e-01 3.550091227262334570e+01 8.791613443125413323e+04
9.500000000000000666e-01 3.548468951659449289e+01 8.891925937278666242e+04
9.599999999999999645e-01 3.546981364382419599e+01 8.992247466868894116e+04
9.699999999999999734e-01 3.545617622012471770e+01 9.092749090660971706e+04
9.799999999999999822e-01 3.544376057602732999e+01 9.192740708891484246e+04
9.899999999999999911e-01 3.543244672614846280e+01 9.293332950874534436e+04
1.000000000000000000e+00 3.542217962178442292e+01 9.393480627818894573e+04
1.010000000000000009e+00 3.541293614112352373e+01 9.493881352595113276e+04
1.020000000000000018e+00 3.540476243657270317e+01 9.594206933255154581e+04
1.030000000000000027e+00 3.539735102105886710e+01 9.694413649706324213e+04
1.040000000000000036e+00 3.539069106313631607e+01 9.794571653404869721e+04
1.050000000000000044e+00 3.538466061213465252e+01 9.894902933425137599e+04
1.060000000000000053e+00 3.537925979256073106e+01 9.994933496451946849e+04
1.070000000000000062e+00 3.537439218893643300e+01 1.009521782713501161e+05
1.080000000000000071e+00 3.537003526548943455e+01 1.019524324944870605e+05
1.090000000000000080e+00 3.536613147125997614e+01 1.029546588222377468e+05
1.100000000000000089e+00 3.536261559302691637e+01 1.039543474983371998e+05
1.110000000000000098e+00 3.535946907984872212e+01 1.049517383408090245e+05
1.120000000000000107e+00 3.535665277297174214e+01 1.059537636075299961e+05
1.130000000000000115e+00 3.535414345827248184e+01 1.069556904009485006e+05
1.140000000000000124e+00 3.535161357739907118e+01 1.079759065135723067e+05
1.150000000000000133e+00 3.567037776615621425e+01 1.267197435886425665e+05
1.159999999999999920e+00 3.577105314426358262e+01 9.151403939381727250e+05
1.169999999999999929e+00 3.585904130810227741e+01 5.776922756966534071e+06
1.179999999999999938e+00 3.589696559021456324e+01 1.457177133866770566e+07
1.189999999999999947e+00 3.590229385916984484e+01 2.119798690685446560e+07
1.199999999999999956e+00 3.589340450662129456e+01 2.250957011871042103e+07
1.209999999999999964e+00 3.589112164823029616e+01 2.237789839209337533e+07
1.219999999999999973e+00 3.588245961792853223e+01 2.622762197271111235e+07
1.229999999999999982e+00 3.586848842922358216e+01 2.896226553028145060e+07
1.239999999999999991e+00 3.585794421544489552e+01 3.068446755630752444e+07
1.250000000000000000e+00 3.584621971675054652e+01 3.191808322185984254e+07
1.260000000000000009e+00 3.779652487812067818e+01 3.292560413570828736e+07
1.270000000000000018e+00 3.899333135563972519e+01 3.582846655432263762e+07
1.280000000000000027e+00 3.979650778752940710e+01 5.542455596003274620e+07
1.290000000000000036e+00 4.033683860527249720e+01 1.090572222013035268e+08
1.300000000000000044e+00 4.066965550533083729e+01 1.675709184267154336e+08
1.310000000000000053e+00 4.069018859217313633e+01 2.019041523749350607e+08
1.320000000000000062e+00 4.070328333358071404e+01 2.074640187150223255e+08
1.330000000000000071e+00 4.072954346249515112e+01 2.143141827677148581e+08
1.340000000000000080e+00 4.066907302011536984e+01 2.495916277649437189e+08
1.350000000000000089e+00 4.055435624706426267e+01 2.704909314119975567e+08
1.360000000000000098e+00 4.046818972183898211e+01 2.826948717579335570e+08
1.370000000000000107e+00 4.040286184320856222e+01 2.914678111087326407e+08
1.380000000000000115e+00 4.034539116362998357e+01 3.003619330095391273e+08
1.390000000000000124e+00 4.029013573661613634e+01 3.079970767801622748e+08
1.400000000000000133e+00 4.024056288155162520e+01 3.139028074231320620e+08
1.409999999999999920e+00 4.025088733719414336e+01 3.190994892402651906e+08
1.419999999999999929e+00 4.177259558555221020e+01 3.234628733141872287e+08
1.429999999999999938e+00 4.242524832329539208e+01 3.285535569967489243e+08
1.439999999999999947e+00 4.281362570697914549e+01 3.385444308658066988e+08
1.449999999999999956e+00 4.321922688111463629e+01 3.631191595531633496e+08
1.459999999999999964e+00 4.344436059430956476e+01 4.076574231229881644e+08
1.469999999999999973e+00 4.349791632218007464e+01 4.526088472694386840e+08
1.479999999999999982e+00 4.339150614162442565e+01 4.712718202031701803e+08
1.489999999999999991e+00 4.332658273051244180e+01 4.715193443974555135e+08
1.500000000000000000e+00 4.329160652421589361e+01 4.714283353914852142e+08
1.510000000000000009e+00 4.325177413170207075e+01 4.795950422350834012e+08
1.520000000000000018e+00 4.317103234704207892e+01 4.935548654502831697e+08
1.530000000000000027e+00 4.308678674923224605e+01 5.038120799932844043e+08
1.540000000000000036e+00 4.301555821374132194e+01 5.114187313352901340e+08
