TIME	LOGL	VPH
0.000000000000000000e+00 3.569725339552935139e+01 3.526440863417543010e-07
1.000000000000000021e-02 3.590807118189511016e+01 4.156104984559601121e+02
2.000000000000000042e-02 3.617353451331976544e+01 9.083550041166263327e+02
2.999999999999999889e-02 3.655320464064479324e+01 1.477267706126680423e+03
4.000000000000000083e-02 3.666685123325900975e+01 2.116478167309310720e+03
5.000000000000000278e-02 3.677839350161161747e+01 2.806591927608477363e+03
5.999999999999999778e-02 3.696450589501911566e+01 3.539347240515897283e+03
7.000000000000000666e-02 3.724085110439322222e+01 4.311622452309895380e+03
8.000000000000000167e-02 3.760621778323290698e+01 5.124208363112737970e+03
8.999999999999999667e-02 3.769579510131814715e+01 5.976550994273316974e+03
1.000000000000000056e-01 3.755266808552459423e+01 6.854748372978203406e+03
1.100000000000000006e-01 3.743749511547236608e+01 7.755965510300865390e+03
1.199999999999999956e-01 3.734281868268476501e+01 8.671076546002796022e+03
1.300000000000000044e-01 3.720570683693409109e+01 9.597380799745429613e+03
1.400000000000000133e-01 3.710159478444380454e+01 1.053453113400735128e+04
1.499999999999999944e-01 3.703063780659049797e+01 1.147986501363948992e+04
1.600000000000000033e-01 3.696909598090427096e+01 1.243088274635487687e+04
1.700000000000000122e-01 3.691512475803263982e+01 1.338871746239384629e+04
1.799999999999999933e-01 3.686732881884935153e+01 1.435127436898658016e+04
1.900000000000000022e-01 3.682946642492225919e+01 1.531889983133850546e+04
2.000000000000000111e-01 3.679787197523565823e+01 1.629025929459009967e+04
2.099999999999999922e-01 3.676872886549237762e+01 1.726661661039649334e+04
2.200000000000000011e-01 3.674172021663403598e+01 1.824486441363262566e+04
2.300000000000000100e-01 3.671657860822762132e+01 1.922787640936964453e+04
2.399999999999999911e-01 3.667919057704878583e+01 2.021326424945198960e+04
2.500000000000000000e-01 3.657213926766043244e+01 2.120079226373671554e+04
2.600000000000000089e-01 3.647798981072891422e+01 2.219240341140847158e+04
2.700000000000000178e-01 3.641152602445575326e+01 2.318436097415006225e+04
2.800000000000000266e-01 3.637830983310080057e+01 2.417934718667809648e+04
2.899999999999999800e-01 3.634879642070475114e+01 2.517557536653366697e+04
2.999999999999999889e-01 3.632252329202373886e+01 2.617636141411413701e+04
3.099999999999999978e-01 3.629910157778379443e+01 2.717653378781321226e+04
3.200000000000000067e-01 3.627818149947115245e+01 2.817944758382200598e+04
3.300000000000000155e-01 3.625947030791588332e+01 2.918273475208404125e+04
3.400000000000000244e-01 3.624270339203762603e+01 3.018975225346504158e+04
3.500000000000000333e-01 3.622987150229765518e+01 3.119719885659985084e+04
3.599999999999999867e-01 3.622845776857960942e+01 3.220608272837441109e+04
3.699999999999999956e-01 3.622721006912216524e+01 3.321609865656347392e+04
3.800000000000000044e-01 3.622611151517133976e+01 3.422790481113920396e+04
3.900000000000000133e-01 3.622515131381242526e+01 3.524073883010618738e+04
4.000000000000000222e-01 3.622431337151837738e+01 3.625204483264565351e+04
4.100000000000000311e-01 3.622312286409939475e+01 3.726769494395973743e+04
4.199999999999999845e-01 3.621876980827305914e+01 3.828315254326198192e+04
4.299999999999999933e-01 3.621463524316975935e+01 3.929823001878960349e+04
4.400000000000000022e-01 3.621069837643206313e+01 4.031569298315675405e+04
4.500000000000000111e-01 3.620694931888419887e+01 4.133432865469869284e+04
4.600000000000000200e-01 3.620337495124864091e+01 4.235253898977766221e+04
4.700000000000000289e-01 3.620080649590412492e+01 4.337215853140296531e+04
4.799999999999999822e-01 3.619903647616675357e+01 4.439338648992418166e+04
4.899999999999999911e-01 3.619733574251624475e+01 4.541617781655928411e+04
5.000000000000000000e-01 3.619063411451533341e+01 4.643752687685155252e+04
5.100000000000000089e-01 3.617324727456581002e+01 4.745994378267743014e+04
5.200000000000000178e-01 3.615794514725483566e+01 4.848381374628781487e+04
5.300000000000000266e-01 3.614466942004702332e+01 4.950713427762578067e+04
5.400000000000000355e-01 3.613331408450102344e+01 5.053066879258614063e+04
5.500000000000000444e-01 3.612371093777323949e+01 5.155584745630349062e+04
5.600000000000000533e-01 3.611569325576208911e+01 5.258179601390027528e+04
5.700000000000000622e-01 3.610907660487560378e+01 5.360906546361734217e+04
5.799999999999999600e-01 3.610365199920410362e+01 5.463498366375592741e+04
5.899999999999999689e-01 3.609926360833499359e+01 5.566199045218160609e+04
5.999999999999999778e-01 3.609572229109116392e+01 5.668916212086461746e+04
6.099999999999999867e-01 3.609289665334966912e+01 5.771503751825651125e+04
6.199999999999999956e-01 3.609066897403658913e+01 5.874367972686825669e+04
6.300000000000000044e-01 3.608892470972718058e+01 5.977240585666045808e+04
6.400000000000000133e-01 3.608864799779276211e+01 6.080114162048901198e+04
6.500000000000000222e-01 3.608867838847010745e+01 6.182970329252578085e+04
6.600000000000000311e-01 3.608895147516339819e+01 6.285914972656942700e+04
6.700000000000000400e-01 3.608942919596059085e+01 6.388908743150051305e+04
6.800000000000000488e-01 3.609008683996691502e+01 6.491959152063711372e+04
6.900000000000000577e-01 3.609096845820297972e+01 6.594961931952503801e+04
7.000000000000000666e-01 3.609191151578556145e+01 6.697997049916953256e+04
7.099999999999999645e-01 3.609289713023429869e+01 6.801010529656214931e+04
7.199999999999999734e-01 3.609392781462326383e+01 6.903980762264282384e+04
7.299999999999999822e-01 3.609498355749367704e+01 7.007083087214993429e+04
7.399999999999999911e-01 3.609190911670511781e+01 7.110285439290016075e+04
7.500000000000000000e-01 3.608757818096687231e+01 7.213512846298963996e+04
7.600000000000000089e-01 3.608336328504553592e+01 7.316715381809201790e+04
7.700000000000000178e-01 3.607926178074359314e+01 7.419860611859805067e+04
7.800000000000000266e-01 3.607525152845733629e+01 7.522880106038451777e+04
7.900000000000000355e-01 3.607134978490271493e+01 7.626174707111172029e+04
8.000000000000000444e-01 3.606752770076442971e+01 7.729357846292211616e+04
8.100000000000000533e-01 3.606380510824837415e+01 7.832507801623387786e+04
8.200000000000000622e-01 3.606015374658708339e+01 7.935526144947696594e+04
8.300000000000000711e-01 3.605659171314495381e+01 8.038797073190299852e+04
8.399999999999999689e-01 3.605310051589871279e+01 8.142075929177529179e+04
8.499999999999999778e-01 3.604968331813388716e+01 8.245230431913552457e+04
8.599999999999999867e-01 3.604633396615528795e+01 8.348221425453839765e+04
8.699999999999999956e-01 3.604306012654813429e+01 8.451481151397986105e+04
8.800000000000000044e-01 3.603984494831967567e+01 8.554722654640195833e+04
8.900000000000000133e-01 3.603668979990076338e+01 8.657868385986353678e+04
9.000000000000000222e-01 3.601116863286955549e+01 8.761011605651649006e+04
9.100000000000000311e-01 3.598540739791738474e+01 8.864190476180269616e+04
9.200000000000000400e-01 3.596142229232742693e+01 8.967336474396591075e+04
9.300000000000000488e-01 3.593918231421127274e+01 9.070360386630074936e+04
9.400000000000000577e-01 3.591866103355437900e+01 9.173702569215177209e+04
9.500000000000000666e-01 3.589979041476219379e+01 9.276910577125789132e+04
9.599999999999999645e-01 3.588252321749655493e+01 9.379919848243819433e+04
9.699999999999999734e-01 3.586678822207282735e+01 9.482834508147118322e+04
9.799999999999999822e-01 3.585247732977475010e+01 9.585996211095512263e+04
9.899999999999999911e-01 3.583952150976656981e+01 9.689170208275833284e+04
1.000000000000000000e+00 3.582781162335761849e+01 9.792236843031262106e+04
1.010000000000000009e+00 3.581726403851944696e+01 9.895369297947477025e+04
1.020000000000000018e+00 3.580778512554236670e+01 9.998235667666104564e+04
1.030000000000000027e+00 3.579928468100524697e+01 1.010118646282249101e+05
1.040000000000000036e+00 3.579167030511563752e+01 1.020430333684884390e+05
1.050000000000000044e+00 3.578486516071291135e+01 1.030710740263293555e+05
1.060000000000000053e+00 3.577878649235548636e+01 1.040994321039242641e+05
1.070000000000000062e+00 3.577337357297749065e+01 1.051275801347974921e+05
1.080000000000000071e+00 3.576854604242203095e+01 1.061581268452135555e+05
1.090000000000000080e+00 3.576425005255424594e+01 1.071866746985337231e+05
1.100000000000000089e+00 3.576042847128489655e+01 1.082145413164518541e+05
1.110000000000000098e+00 3.575702656175843686e+01 1.092439279728061811e+05
1.120000000000000107e+00 3.575400417469448655e+01 1.102690820418082003e+05
1.130000000000000115e+00 3.575131507203806080e+01 1.112954641147970979e+05
1.140000000000000124e+00 3.574892302395336685e+01 1.123242850106040278e+05
1.150000000000000133e+00 3.574680283600990549e+01 1.133504564181897003e+05
1.159999999999999920e+00 3.574491104226719074e+01 1.143749741374711884e+05
1.169999999999999929e+00 3.574324077556104839e+01 1.154057756906564173e+05
1.179999999999999938e+00 3.574174359597140693e+01 1.164318459603105875e+05
1.189999999999999947e+00 3.574041738101129084e+01 1.174533198689780402e+05
1.199999999999999956e+00 3.573924270525889568e+01 1.184828399818605394e+05
1.209999999999999964e+00 3.573836825926974825e+01 1.195061712076036492e+05
1.219999999999999973e+00 3.573762181973667396e+01 1.205303339988416265e+05
1.229999999999999982e+00 3.573692783677560669e+01 1.215552280147355195e+05
1.239999999999999991e+00 3.573631639415948058e+01 1.225784740002869803e+05
1.250000000000000000e+00 3.573573622209771372e+01 1.236025958645715873e+05
1.260000000000000009e+00 3.573524048592985025e+01 1.246272741798743809e+05
1.270000000000000018e+00 3.573476197979135804e+01 1.256503488065109414e+05
1.280000000000000027e+00 3.573434906456093074e+01 1.266683541803786648e+05
1.290000000000000036e+00 3.573395637157225480e+01 1.276927120711996977e+05
1.300000000000000044e+00 3.573361801563272877e+01 1.287128098417223664e+05
1.310000000000000053e+00 3.573329655075016120e+01 1.297361533001121279e+05
1.320000000000000062e+00 3.573299575896932367e+01 1.307526912095783046e+05
1.330000000000000071e+00 3.573274203872490062e+01 1.317749263966499420e+05
1.340000000000000080e+00 3.573249438310283210e+01 1.327951852072115580e+05
