TIME	LOGL	VPH
0.000000000000000000e+00 3.492797794716031490e+01 2.819912459454274334e-07
1.000000000000000021e-02 3.508443646251756576e+01 2.639276584089279822e+02
2.000000000000000042e-02 3.525676250591011751e+01 6.183240751716549539e+02
2.999999999999999889e-02 3.546004685060174211e+01 1.054008484790748753e+03
4.000000000000000083e-02 3.573568209051077815e+01 1.565558240358254125e+03
5.000000000000000278e-02 3.609063826061049696e+01 2.153517157395225695e+03
5.999999999999999778e-02 3.637129812646247018e+01 2.816657413662811905e+03
7.000000000000000666e-02 3.653060963986082754e+01 3.541079243819553085e+03
8.000000000000000167e-02 3.674461588892454955e+01 4.322062073556508039e+03
8.999999999999999667e-02 3.681117427102729067e+01 5.152906958683616722e+03
1.000000000000000056e-01 3.673719278048135806e+01 6.016968211072485246e+03
1.100000000000000006e-01 3.669161410453168770e+01 6.911301434655994854e+03
1.199999999999999956e-01 3.667028625068358849e+01 7.826688757310938854e+03
1.300000000000000044e-01 3.667046348521229504e+01 8.761357559331458106e+03
1.400000000000000133e-01 3.668915814219366922e+01 9.714533459521033365e+03
1.499999999999999944e-01 3.670852578400346999e+01 1.068377040251318431e+04
1.600000000000000033e-01 3.669972833434860604e+01 1.166853696636719724e+04
1.700000000000000122e-01 3.664714333060000229e+01 1.266347766876555761e+04
1.799999999999999933e-01 3.654305894361831974e+01 1.366907191561155014e+04
1.900000000000000022e-01 3.644965165556401132e+01 1.468199970610888886e+04
2.000000000000000111e-01 3.636775653014882437e+01 1.570266609095855165e+04
2.099999999999999922e-01 3.630913748262366880e+01 1.673058205082669156e+04
2.200000000000000011e-01 3.626566743138315019e+01 1.776412794235248293e+04
2.300000000000000100e-01 3.622644790477826859e+01 1.880195036267251271e+04
2.399999999999999911e-01 3.615113173344751374e+01 1.984433714037319442e+04
2.500000000000000000e-01 3.607221999627783759e+01 2.089157516847071747e+04
2.600000000000000089e-01 3.600172195185214719e+01 2.194262720874548540e+04
2.700000000000000178e-01 3.593882826255185847e+01 2.299595955002330811e+04
2.800000000000000266e-01 3.589709162506194673e+01 2.405436898115966324e+04
2.899999999999999800e-01 3.587321906503686364e+01 2.511539623032924646e+04
2.999999999999999889e-01 3.585165025837184771e+01 2.617876741491744178e+04
3.099999999999999978e-01 3.583210722862753528e+01 2.724531390912439019e+04
3.200000000000000067e-01 3.581435790621985404e+01 2.831356264805278624e+04
3.300000000000000155e-01 3.579826330846611881e+01 2.938503615335299037e+04
3.400000000000000244e-01 3.578356591946100451e+01 3.045817046287818084e+04
3.500000000000000333e-01 3.577010644455764776e+01 3.153383451462847734e+04
3.599999999999999867e-01 3.575775344973553160e+01 3.261185246364145496e+04
3.699999999999999956e-01 3.575001178273340940e+01 3.369094756968377624e+04
3.800000000000000044e-01 3.573211928366479384e+01 3.477135664115042164e+04
3.900000000000000133e-01 3.571195165164188978e+01 3.585486351653195743e+04
4.000000000000000222e-01 3.569327281895871806e+01 3.693900544308858662e+04
4.100000000000000311e-01 3.567599454830993011e+01 3.802503757914556627e+04
4.199999999999999845e-01 3.566002746540512192e+01 3.911212971638402814e+04
4.299999999999999933e-01 3.564529534623220997e+01 4.020067606200402224e+04
4.400000000000000022e-01 3.563171849738719743e+01 4.129045725239254534e+04
4.500000000000000111e-01 3.562147792761146547e+01 4.238130083644966362e+04
4.600000000000000200e-01 3.561673349292959756e+01 4.347381369984534103e+04
4.700000000000000289e-01 3.561236131529695825e+01 4.456652290281822206e+04
4.799999999999999822e-01 3.560832868215097591e+01 4.566024565409938805e+04
