TIME	LOGL	VPH
0.000000000000000000e+00 3.486575227625228734e+01 2.774334057127869934e-07
1.000000000000000021e-02 3.500761956645082762e+01 2.474525313746503627e+02
2.000000000000000042e-02 3.514284829395610643e+01 5.786723762170820464e+02
2.999999999999999889e-02 3.529280885029816517e+01 9.841668916672039131e+02
4.000000000000000083e-02 3.548503057478893652e+01 1.456746995861086134e+03
5.000000000000000278e-02 3.571524185275001173e+01 1.990797119796078732e+03
5.999999999999999778e-02 3.602547179615966400e+01 2.586105453072873388e+03
7.000000000000000666e-02 3.643959604197016944e+01 3.241998328787038645e+03
8.000000000000000167e-02 3.692117184329364932e+01 3.965592539720761579e+03
8.999999999999999667e-02 3.709013070526969358e+01 4.754614383608631215e+03
1.000000000000000056e-01 3.696361583441792931e+01 5.584408984876922659e+03
1.100000000000000006e-01 3.687145418492391968e+01 6.448703419051960736e+03
1.199999999999999956e-01 3.680580130644457881e+01 7.336643332992923206e+03
1.300000000000000044e-01 3.676096307548590403e+01 8.243808562574562529e+03
1.400000000000000133e-01 3.673280952834369373e+01 9.168998128556133452e+03
1.499999999999999944e-01 3.670995618166121233e+01 1.010808952199551459e+04
1.600000000000000033e-01 3.667547201228292408e+01 1.106028473064277205e+04
1.700000000000000122e-01 3.662002270427175432e+01 1.202172498421897399e+04
1.799999999999999933e-01 3.656451519614920187e+01 1.299469930601481974e+04
1.900000000000000022e-01 3.651431505728935178e+01 1.397310982892511311e+04
2.000000000000000111e-01 3.646857714957291563e+01 1.495930139538710682e+04
2.099999999999999922e-01 3.642656798270294871e+01 1.595169650812289001e+04
2.200000000000000011e-01 3.638772707808674767e+01 1.695008883692505333e+04
2.300000000000000100e-01 3.635162101662718470e+01 1.795183367128383179e+04
2.399999999999999911e-01 3.624036742181425552e+01 1.895915935735943276e+04
2.500000000000000000e-01 3.611787933137343742e+01 1.996983684342040215e+04
2.600000000000000089e-01 3.600842293648092607e+01 2.098455219507990478e+04
2.700000000000000178e-01 3.591089306226366062e+01 2.200126407777180430e+04
2.800000000000000266e-01 3.584410519717924615e+01 2.302323928407566564e+04
2.899999999999999800e-01 3.580958010176469486e+01 2.404788081224262351e+04
2.999999999999999889e-01 3.577874412335140164e+01 2.507482749451074051e+04
3.099999999999999978e-01 3.575114806511980703e+01 2.610428649946082442e+04
3.200000000000000067e-01 3.572640882544768459e+01 2.713615223467395117e+04
3.300000000000000155e-01 3.570418520723898581e+01 2.817015690222666672e+04
3.400000000000000244e-01 3.568419451365857498e+01 2.920619426846065471e+04
3.500000000000000333e-01 3.566618593213573263e+01 3.024539603994713980e+04
3.599999999999999867e-01 3.564994858520622500e+01 3.128635547237342325e+04
3.699999999999999956e-01 3.564200343477968147e+01 3.232846155641802761e+04
3.800000000000000044e-01 3.563063651751726013e+01 3.337108199179414805e+04
3.900000000000000133e-01 3.561827339701062556e+01 3.441785704276173783e+04
4.000000000000000222e-01 3.560679491771615801e+01 3.546526435167290037e+04
4.100000000000000311e-01 3.559615101883840538e+01 3.651318170163056493e+04
4.199999999999999845e-01 3.558629219200540206e+01 3.756309349071446195e+04
4.299999999999999933e-01 3.557716356871144825e+01 3.861458475687615282e+04
4.400000000000000022e-01 3.556872987288610233e+01 3.966668961185785884e+04
4.500000000000000111e-01 3.556216826947537157e+01 4.072010053612085903e+04
4.600000000000000200e-01 3.555867997946740644e+01 4.177530489726818632e+04
4.700000000000000289e-01 3.555543834019027827e+01 4.283082782088810200e+04
4.799999999999999822e-01 3.555243234585692136e+01 4.388696017474482505e+04
4.899999999999999911e-01 3.555013743151364736e+01 4.494533243553183274e+04
5.000000000000000000e-01 3.554908815724901672e+01 4.600383459173340816e+04
5.100000000000000089e-01 3.554816325862857695e+01 4.706275142500256334e+04
5.200000000000000178e-01 3.554735495700066394e+01 4.812347335376366391e+04
5.300000000000000266e-01 3.554664416519270276e+01 4.918290431696063024e+04
5.400000000000000355e-01 3.554602636242535141e+01 5.024579640254387778e+04
5.500000000000000444e-01 3.554549577058511289e+01 5.130790302685539791e+04
5.600000000000000533e-01 3.554504920153014780e+01 5.237056285187372850e+04
