TIME	LOGL	VPH
0.000000000000000000e+00 3.591272668277515123e+01 6.718223848084183651e-07
1.000000000000000021e-02 3.624483444815471955e+01 6.777051555935431679e+02
2.000000000000000042e-02 3.671233535603895604e+01 1.462302822446236860e+03
2.999999999999999889e-02 3.741878663222387047e+01 2.354684302125757313e+03
4.000000000000000083e-02 3.786546152484533678e+01 3.364427130886936993e+03
5.000000000000000278e-02 3.769014799957087547e+01 4.457171167952565156e+03
5.999999999999999778e-02 3.751233692849243084e+01 5.600436917885999719e+03
7.000000000000000666e-02 3.737631853684864325e+01 6.779376383163717037e+03
8.000000000000000167e-02 3.726701171794936585e+01 7.981556320262007830e+03
8.999999999999999667e-02 3.717591788558999610e+01 9.202415755630056083e+03
1.000000000000000056e-01 3.709801174709322424e+01 1.043705414535195996e+04
1.100000000000000006e-01 3.703011179287921095e+01 1.168379491118353690e+04
1.199999999999999956e-01 3.697005420347546334e+01 1.293971103430344010e+04
1.300000000000000044e-01 3.684597069702084582e+01 1.420452337736868867e+04
1.400000000000000133e-01 3.675453791249283597e+01 1.547760554609943028e+04
1.499999999999999944e-01 3.665578685977688167e+01 1.675678159596327896e+04
1.600000000000000033e-01 3.650473081601861480e+01 1.804206576330938697e+04
1.700000000000000122e-01 3.639526179980657616e+01 1.933224208476945932e+04
1.799999999999999933e-01 3.633950077198187500e+01 2.062717901111704850e+04
1.900000000000000022e-01 3.629852197328970220e+01 2.192563695810119680e+04
2.000000000000000111e-01 3.626731274414449757e+01 2.322960820192232859e+04
2.099999999999999922e-01 3.624068959778861654e+01 2.453751069309999002e+04
2.200000000000000011e-01 3.621789962269184571e+01 2.584844315525815182e+04
2.300000000000000100e-01 3.620674041228216566e+01 2.716350863842674880e+04
2.399999999999999911e-01 3.620281201979354790e+01 2.848034028492479410e+04
2.500000000000000000e-01 3.619932702700340599e+01 2.979957283257751260e+04
2.600000000000000089e-01 3.619738427717944518e+01 3.112247533902773284e+04
2.700000000000000178e-01 3.619582920982759333e+01 3.244583626122328860e+04
2.800000000000000266e-01 3.619449228815978614e+01 3.377509019456761598e+04
2.899999999999999800e-01 3.619333300302309908e+01 3.510394770709303702e+04
2.999999999999999889e-01 3.619234516499569310e+01 3.643314721856921096e+04
3.099999999999999978e-01 3.619243116712435437e+01 3.776647487971627561e+04
3.200000000000000067e-01 3.619356307674991768e+01 3.910211284765649179e+04
3.300000000000000155e-01 3.619467408549845544e+01 4.043637227373642963e+04
3.400000000000000244e-01 3.619577132356047144e+01 4.177308982259262120e+04
3.500000000000000333e-01 3.619714281662235322e+01 4.311433772543106170e+04
3.599999999999999867e-01 3.619910605022119654e+01 4.445662017012861907e+04
3.699999999999999956e-01 3.620103789866440991e+01 4.579984739449888002e+04
3.800000000000000044e-01 3.620292797837985432e+01 4.714416589839782682e+04
3.900000000000000133e-01 3.620477030784275030e+01 4.848973633874180086e+04
4.000000000000000222e-01 3.620657582950113351e+01 4.983409334310299164e+04
4.100000000000000311e-01 3.620777596411603838e+01 5.118118426450696279e+04
