TIME	LOGL	VPH
0.000000000000000000e+00 3.471774396709367494e+01 2.486174715685076527e-07
1.000000000000000021e-02 3.480188365718401400e+01 1.970216118612270009e+02
2.000000000000000042e-02 3.488083089279608373e+01 4.564756934945096987e+02
2.999999999999999889e-02 3.496598218610084530e+01 7.721426975141730509e+02
4.000000000000000083e-02 3.506064949872138214e+01 1.137655707075301279e+03
5.000000000000000278e-02 3.516163729315371711e+01 1.549262834199033705e+03
5.999999999999999778e-02 3.527730476906801016e+01 2.003185141928620169e+03
7.000000000000000666e-02 3.541848752529448063e+01 2.498496688466570504e+03
8.000000000000000167e-02 3.559235931860576585e+01 3.032659521229437360e+03
8.999999999999999667e-02 3.572988885278059712e+01 3.604285315583187639e+03
1.000000000000000056e-01 3.583954751074769263e+01 4.209221276246238631e+03
1.100000000000000006e-01 3.598725924170037871e+01 4.844728298655139952e+03
1.199999999999999956e-01 3.617770448815016238e+01 5.510186455901981390e+03
1.300000000000000044e-01 3.641541614098001389e+01 6.206293479791595928e+03
1.400000000000000133e-01 3.669806835351273833e+01 6.935334595632261880e+03
1.499999999999999944e-01 3.695965296884633489e+01 7.698120782036952733e+03
1.600000000000000033e-01 3.708926101039697443e+01 8.489158036455137335e+03
1.700000000000000122e-01 3.702628584472731887e+01 9.301358189029831919e+03
1.799999999999999933e-01 3.693264033508571487e+01 1.012946988002960279e+04
1.900000000000000022e-01 3.685164226538481103e+01 1.097283872014200097e+04
2.000000000000000111e-01 3.678092189302796555e+01 1.182823123039807433e+04
2.099999999999999922e-01 3.671818869168235722e+01 1.269304180114641349e+04
2.200000000000000011e-01 3.666184401858399866e+01 1.356550415686131419e+04
2.300000000000000100e-01 3.661072696844576768e+01 1.444392891733153010e+04
2.399999999999999911e-01 3.655173059601469276e+01 1.533022143047760255e+04
2.500000000000000000e-01 3.649454418464971894e+01 1.622126147623016732e+04
2.600000000000000089e-01 3.644225668078991731e+01 1.711664749278191812e+04
2.700000000000000178e-01 3.639430734829220171e+01 1.801762008567102748e+04
2.800000000000000266e-01 3.635339172390244045e+01 1.892116275004765339e+04
2.899999999999999800e-01 3.631930982081251358e+01 1.983009569162502885e+04
2.999999999999999889e-01 3.628749547690221533e+01 2.074099753922115997e+04
3.099999999999999978e-01 3.625770090573710291e+01 2.165661417972523486e+04
3.200000000000000067e-01 3.622970937504568667e+01 2.257392882590292356e+04
3.300000000000000155e-01 3.620334031705506561e+01 2.349451523191304295e+04
3.400000000000000244e-01 3.617843401595925457e+01 2.441784596359041461e+04
3.500000000000000333e-01 3.615485726593878724e+01 2.534259922382757941e+04
3.599999999999999867e-01 3.613248898243293183e+01 2.626961736116770408e+04
3.699999999999999956e-01 3.611228463959685797e+01 2.719943204795510974e+04
