TIME	LOGL	VPH
0.000000000000000000e+00 3.579943398868335436e+01 6.461221343055078203e-07
1.000000000000000021e-02 3.606473275003719436e+01 6.456103311557691313e+02
2.000000000000000042e-02 3.643881619562295526e+01 1.386494059334357644e+03
2.999999999999999889e-02 3.699436555643877966e+01 2.224802685113124426e+03
4.000000000000000083e-02 3.703192035255018055e+01 3.154564187647726158e+03
5.000000000000000278e-02 3.703023964968746640e+01 4.141649236655577624e+03
5.999999999999999778e-02 3.709819803968022001e+01 5.173645601460803846e+03
7.000000000000000666e-02 3.723759167477055598e+01 6.241430942195852367e+03
8.000000000000000167e-02 3.744341361520505984e+01 7.345262121011849558e+03
8.999999999999999667e-02 3.747293094094273869e+01 8.479197688340509558e+03
1.000000000000000056e-01 3.735370110514415387e+01 9.636002295668926308e+03
1.100000000000000006e-01 3.725605884711048077e+01 1.080919693774297411e+04
1.199999999999999956e-01 3.717435157365723342e+01 1.199916085897092853e+04
1.300000000000000044e-01 3.699830902593100745e+01 1.319665201614651960e+04
1.400000000000000133e-01 3.687256050390039519e+01 1.440415500987373889e+04
1.499999999999999944e-01 3.680004448397409078e+01 1.561922268055277164e+04
1.600000000000000033e-01 3.673838723592425737e+01 1.684118903072795729e+04
1.700000000000000122e-01 3.668543756127431266e+01 1.806912864225072190e+04
1.799999999999999933e-01 3.663955444513289450e+01 1.929932614850932805e+04
1.900000000000000022e-01 3.660845215929516883e+01 2.053654736379248789e+04
2.000000000000000111e-01 3.658585405257681344e+01 2.177954563873221923e+04
2.099999999999999922e-01 3.656509890855836176e+01 2.302333730096566433e+04
2.200000000000000011e-01 3.654595115458201349e+01 2.427191090848491876e+04
2.300000000000000100e-01 3.652820550984561265e+01 2.552449851423172731e+04
2.399999999999999911e-01 3.650239321981675999e+01 2.677769150702738989e+04
2.500000000000000000e-01 3.643109295687588656e+01 2.803434743239630552e+04
2.600000000000000089e-01 3.636950445849232949e+01 2.929580816985210549e+04
2.700000000000000178e-01 3.632634475527571993e+01 3.055802068166402387e+04
2.800000000000000266e-01 3.630494623406511323e+01 3.182343145285296487e+04
2.899999999999999800e-01 3.628596950013005795e+01 3.309007662311191962e+04
2.999999999999999889e-01 3.626912356758094802e+01 3.435880746473084582e+04
3.099999999999999978e-01 3.625414343182168864e+01 3.562970152485495782e+04
3.200000000000000067e-01 3.624080539113366228e+01 3.690032994705969031e+04
3.300000000000000155e-01 3.622890864063706573e+01 3.817379503863843274e+04
3.400000000000000244e-01 3.621828262539099796e+01 3.944820040605968097e+04
3.500000000000000333e-01 3.621055214233900443e+01 4.072490666473533929e+04
3.599999999999999867e-01 3.621087359503400194e+01 4.200295536159344920e+04
3.699999999999999956e-01 3.621127199878105785e+01 4.328123736180908600e+04
3.800000000000000044e-01 3.621173812304096629e+01 4.456246496259496053e+04
3.900000000000000133e-01 3.621226610286511516e+01 4.584259356600257888e+04
4.000000000000000222e-01 3.621284474874862980e+01 4.712732675154939352e+04
4.100000000000000311e-01 3.621260547939368735e+01 4.841148079041832534e+04
4.199999999999999845e-01 3.620633556187546276e+01 4.969657714668341941e+04
4.299999999999999933e-01 3.620032827210081194e+01 5.098199612161984260e+04
4.400000000000000022e-01 3.619456362103149161e+01 5.226773552310492232e+04
4.500000000000000111e-01 3.618902996365679314e+01 5.355696492144337390e+04
4.600000000000000200e-01 3.618371366261768429e+01 5.484331105398815998e+04
4.700000000000000289e-01 3.617915935357140000e+01 5.613453031629350153e+04
4.799999999999999822e-01 3.617521965707493337e+01 5.742308514925018972e+04
4.899999999999999911e-01 3.617141581959224794e+01 5.871482606623092579e+04
5.000000000000000000e-01 3.615827386457423387e+01 6.000530952775598416e+04
5.100000000000000089e-01 3.612526677002231423e+01 6.129642997193013434e+04
5.200000000000000178e-01 3.609615451540727094e+01 6.258808294012518309e+04
5.300000000000000266e-01 3.607082399428095698e+01 6.387900272769765434e+04
5.400000000000000355e-01 3.604906598247688976e+01 6.517289238613747148e+04
