TIME	LOGL	VPH
0.000000000000000000e+00 3.471774396709366073e+01 2.486174715685075997e-07
1.000000000000000021e-02 3.480188502208248025e+01 1.970394109555810189e+02
2.000000000000000042e-02 3.488082475677806826e+01 4.565640597538501879e+02
2.999999999999999889e-02 3.496596364780425148e+01 7.718620492612405997e+02
4.000000000000000083e-02 3.506061799920926347e+01 1.137587752149068365e+03
5.000000000000000278e-02 3.516159662901909400e+01 1.548909988617091585e+03
5.999999999999999778e-02 3.527723539642526163e+01 2.003106353984994257e+03
7.000000000000000666e-02 3.541837320380157195e+01 2.498047130570644185e+03
8.000000000000000167e-02 3.559220178580824268e+01 3.032587624500807578e+03
8.999999999999999667e-02 3.572984078106863137e+01 3.603937631474851969e+03
1.000000000000000056e-01 3.583946624326355135e+01 4.208008757783381043e+03
1.100000000000000006e-01 3.598711173420679899e+01 4.843923374149958363e+03
1.199999999999999956e-01 3.617745795000116971e+01 5.509578664309093256e+03
1.300000000000000044e-01 3.641503417713480673e+01 6.205713168588113149e+03
1.400000000000000133e-01 3.669755894672941565e+01 6.934438977997542679e+03
1.499999999999999944e-01 3.695932222662145250e+01 7.697309352231306548e+03
1.600000000000000033e-01 3.708901753721353600e+01 8.487490584993207449e+03
1.700000000000000122e-01 3.702655200263015445e+01 9.301308775308543773e+03
1.799999999999999933e-01 3.693281288777518512e+01 1.012931686773420188e+04
1.900000000000000022e-01 3.685179414305665091e+01 1.097316963113193196e+04
2.000000000000000111e-01 3.678105995896230951e+01 1.182849070373369250e+04
2.099999999999999922e-01 3.671831490552846589e+01 1.269238882742834903e+04
2.200000000000000011e-01 3.666195993641487405e+01 1.356453567142478278e+04
2.300000000000000100e-01 3.661083526715557213e+01 1.444449001927219069e+04
2.399999999999999911e-01 3.655187539534856001e+01 1.533005560556965247e+04
2.500000000000000000e-01 3.649468020330429852e+01 1.622015860620088642e+04
2.600000000000000089e-01 3.644238642967941644e+01 1.711550381703405219e+04
2.700000000000000178e-01 3.639442871534483714e+01 1.801534701637981561e+04
2.800000000000000266e-01 3.635348530874115625e+01 1.892046181206332039e+04
2.899999999999999800e-01 3.631939853995604039e+01 1.982924478836042545e+04
2.999999999999999889e-01 3.628758143478695786e+01 2.074089305267402960e+04
3.099999999999999978e-01 3.625778088062156712e+01 2.165570041682858573e+04
3.200000000000000067e-01 3.622978766829123742e+01 2.257342207781643810e+04
3.300000000000000155e-01 3.620341487421066518e+01 2.349372703101911611e+04
3.400000000000000244e-01 3.617850706849406350e+01 2.441666118027915945e+04
3.500000000000000333e-01 3.615492505249480359e+01 2.534180547796305473e+04
3.599999999999999867e-01 3.613255392492407481e+01 2.626900932819921582e+04
3.699999999999999956e-01 3.611234468742935633e+01 2.719807903540844200e+04
3.800000000000000044e-01 3.604198046528428989e+01 2.812990479329603113e+04
3.900000000000000133e-01 3.596210221050267819e+01 2.906385065976345140e+04
4.000000000000000222e-01 3.588809388721455917e+01 2.999958605249561515e+04
4.100000000000000311e-01 3.581959679831803811e+01 3.093670200228768226e+04
4.199999999999999845e-01 3.575627197791171596e+01 3.187535447499077418e+04
4.299999999999999933e-01 3.569779588660735925e+01 3.281540317008105922e+04
4.400000000000000022e-01 3.564387034170686519e+01 3.375683620483326376e+04
4.500000000000000111e-01 3.560343408681065824e+01 3.469850146888104064e+04
