mjd,t_from_discovery,Lum,dLum0,dLum1
53036.5,28.5,1.07399E+42,1.11779E+41,1.11779E+41
53044.46,36.46,1.07895E+42,2.0634E+41,2.0634E+41
53051.45,43.45,1.10917E+42,1.15441E+41,1.15441E+41
53064.48,56.48,1.10917E+42,1.15441E+41,1.15441E+41
53065.43,57.43,1.11944E+42,1.36592E+41,1.36592E+41
53075.49,67.49,1.12202E+42,1.16778E+41,1.16778E+41
53081.34,73.34,1.11429E+42,1.15974E+41,1.15974E+41
53099.35,91.35,1.00462E+42,1.22582E+41,1.22582E+41
53102.41,94.41,9.59401E+41,1.17065E+41,1.17065E+41
53110.3,102.3,8.62979E+41,8.98176E+40,8.98176E+40
53129.31,121.31,5.45758E+41,1.01464E+40,1.01464E+40
53131.28,123.28,4.58142E+41,8.51749E+39,8.51749E+39
53133.39,125.39,3.8815E+41,7.21625E+39,7.21625E+39
53135.43,127.43,3.60579E+41,6.70366E+39,6.70366E+39
53139.43,131.43,3.4435E+41,6.40194E+39,6.40194E+39
53146.26,138.26,3.16957E+41,5.89267E+39,5.89267E+39
53157.38,149.38,2.86418E+41,5.3249E+39,5.3249E+39
53170.22,162.22,2.54097E+41,4.72402E+39,4.72402E+39
