mjd,t_from_discovery,Lum,dLum0,dLum1
56004.41,1.81,5.28E+42,7.55E+41,7.55E+41
56006.32,3.72,6.89E+42,1.34E+42,1.34E+42
56006.44,3.84,4.55E+42,1.67E+42,1.67E+42
56006.71,4.11,1.17E+43,3.96E+42,3.96E+42
56007.3,4.7,3.87E+42,7.51E+41,7.51E+41
56007.31,4.71,3.82E+42,1.34E+42,1.34E+42
56007.57,4.97,6.03E+42,2.14E+42,2.14E+42
56008.31,5.71,5.48E+42,1.81E+42,1.81E+42
56008.31,5.71,3.56E+42,6.41E+41,6.41E+41
56008.57,5.97,4.94E+42,1.63E+42,1.63E+42
56009.26,6.66,3.73E+42,7.24E+41,7.24E+41
56009.31,6.71,3.33E+42,9.89E+41,9.89E+41
56009.58,6.98,3.63E+42,7.24E+41,7.24E+41
56010.35,7.75,2.94E+42,5.87E+41,5.87E+41
56010.35,7.75,3.70E+42,7.38E+41,7.38E+41
56010.36,7.76,3.05E+42,7.73E+41,7.73E+41
56010.54,7.94,4.24E+42,8.45E+41,8.45E+41
56011.34,8.74,3.49E+42,6.77E+41,6.77E+41
56011.36,8.76,4.18E+42,9.50E+41,9.50E+41
56011.54,8.94,2.99E+42,7.56E+41,7.56E+41
56012.28,9.68,3.07E+42,5.95E+41,5.95E+41
56013.36,10.76,2.85E+42,8.99E+41,8.99E+41
56014.44,11.84,2.69E+42,6.81E+41,6.81E+41
56015.39,12.79,2.34E+42,4.68E+41,4.68E+41
56015.53,12.93,2.28E+42,6.29E+41,6.29E+41
56016.37,13.77,2.38E+42,6.03E+41,6.03E+41
56016.51,13.91,2.51E+42,5.00E+41,5.00E+41
56017.57,14.97,1.82E+42,6.75E+41,6.75E+41
56018.43,15.83,2.00E+42,3.99E+41,3.99E+41
56019.13,16.53,1.92E+42,3.72E+41,3.72E+41
56020.32,17.72,1.91E+42,6.84E+41,6.84E+41
56025.13,22.53,1.59E+42,3.09E+41,3.09E+41
56027.24,24.64,1.50E+42,2.92E+41,2.92E+41
56030.21,27.61,1.46E+42,2.84E+41,2.84E+41
56037.15,34.55,1.37E+42,2.65E+41,2.65E+41
56039.11,36.51,1.33E+42,2.59E+41,2.59E+41
56042.43,39.83,1.41E+42,3.20E+41,3.20E+41
56043.25,40.65,1.35E+42,2.62E+41,2.62E+41
56043.4,40.8,1.38E+42,4.10E+41,4.10E+41
56043.49,40.89,1.37E+42,1.95E+41,1.95E+41
56047.2,44.6,1.32E+42,2.56E+41,2.56E+41
56048.55,45.95,1.36E+42,2.70E+41,2.70E+41
56050.57,47.97,1.36E+42,4.05E+41,4.05E+41
56053.4,50.8,1.27E+42,2.54E+41,2.54E+41
56054.12,51.52,1.35E+42,2.62E+41,2.62E+41
56057.11,54.51,1.33E+42,2.69E+41,2.69E+41
56059.15,56.55,1.27E+42,2.49E+41,2.49E+41
56059.65,57.05,1.29E+42,4.77E+41,4.77E+41
56061.18,58.58,1.27E+42,2.47E+41,2.47E+41
56062.19,59.59,1.24E+42,2.44E+41,2.44E+41
56065.14,62.54,1.26E+42,2.44E+41,2.44E+41
56072.13,69.53,1.24E+42,2.41E+41,2.41E+41
56074.38,71.78,1.25E+42,1.79E+41,1.79E+41
56075.15,72.55,1.20E+42,2.23E+41,2.23E+41
56075.16,72.56,1.22E+42,2.44E+41,2.44E+41
56076.13,73.53,1.15E+42,2.39E+41,2.39E+41
56078.15,75.55,1.18E+42,2.66E+41,2.66E+41
56085.14,82.54,1.13E+42,2.19E+41,2.19E+41
56088.12,85.52,1.19E+42,2.33E+41,2.33E+41
56090.13,87.53,1.18E+42,2.29E+41,2.29E+41
56095.16,92.56,1.06E+42,2.32E+41,2.32E+41
56096.41,93.81,1.14E+42,2.27E+41,2.27E+41
56104.15,101.55,9.68E+41,2.23E+41,2.23E+41
56106.13,103.53,1.00E+42,1.87E+41,1.87E+41
56111.48,108.88,9.71E+41,3.30E+41,3.30E+41
56115.49,112.89,8.95E+41,2.48E+41,2.48E+41
56116.4,113.8,8.79E+41,2.23E+41,2.23E+41
56117.48,114.88,9.14E+41,3.25E+41,3.25E+41
56118.49,115.89,8.89E+41,2.94E+41,2.94E+41
56126.48,123.88,7.78E+41,2.57E+41,2.57E+41
56128.48,125.88,6.03E+41,2.05E+41,2.05E+41
56217.46,214.86,1.43E+41,2.65E+39,2.65E+39
56218.46,215.86,1.37E+41,2.55E+39,2.55E+39
56224.48,221.88,1.04E+41,1.93E+39,1.93E+39
56225.47,222.87,1.26E+41,2.34E+39,2.34E+39
56227.47,224.87,1.24E+41,2.30E+39,2.30E+39
56230.49,227.89,1.31E+41,2.44E+39,2.44E+39
56231.48,228.88,1.20E+41,2.23E+39,2.23E+39
56234.47,231.87,1.16E+41,2.15E+39,2.15E+39
56236.46,233.86,1.12E+41,2.08E+39,2.08E+39
56239.47,236.87,1.25E+41,2.32E+39,2.32E+39
56242.45,239.85,1.05E+41,1.95E+39,1.95E+39
56243.44,240.84,9.98E+40,1.85E+39,1.85E+39
