mjd,t_from_discovery,Lum,dLum0,dLum1
57887.99,2.29,9.16E+42,2.08E+42,2.08E+42
57889.83,4.13,5.47E+42,1.42E+42,1.42E+42
57890.84,5.14,5.77E+42,1.39E+42,1.39E+42
57892,6.3,4.82E+42,1.48E+42,1.48E+42
57892.98,7.28,4.53E+42,9.79E+41,9.79E+41
57894.95,9.25,5.21E+42,9.68E+41,9.68E+41
57897.9,12.2,4.11E+42,7.86E+41,7.86E+41
57898.96,13.26,4.06E+42,8.31E+41,8.31E+41
57900.9,15.2,3.37E+42,7.86E+41,7.86E+41
57901.9,16.2,3.18E+42,7.42E+41,7.42E+41
57902.9,17.2,3.03E+42,7.07E+41,7.07E+41
57904.9,19.2,2.81E+42,6.78E+41,6.78E+41
57905.9,20.2,2.74E+42,3.41E+41,3.41E+41
57906.9,21.2,2.62E+42,3.26E+41,3.26E+41
57907.9,22.2,2.59E+42,3.37E+41,3.37E+41
57909.9,24.2,2.46E+42,3.19E+41,3.19E+41
57912.9,27.2,2.38E+42,3.22E+41,3.22E+41
57913.9,28.2,2.31E+42,3.11E+41,3.11E+41
57915,29.3,2.26E+42,2.88E+41,2.88E+41
57915.9,30.2,2.25E+42,2.87E+41,2.87E+41
57916.9,31.2,2.22E+42,3.11E+41,3.11E+41
57917.9,32.2,2.18E+42,2.89E+41,2.89E+41
57918.94,33.24,2.18E+42,7.13E+41,7.13E+41
57919.99,34.29,2.15E+42,2.73E+41,2.73E+41
57922,36.3,2.19E+42,3.19E+41,3.19E+41
57924,38.3,2.03E+42,2.59E+41,2.59E+41
57925.95,40.25,2.06E+42,2.73E+41,2.73E+41
57927.9,42.2,2.03E+42,2.74E+41,2.74E+41
57929.02,43.32,2.02E+42,2.73E+41,2.73E+41
57931,45.3,2.01E+42,6.39E+41,6.39E+41
57937.86,52.16,1.98E+42,4.22E+41,4.22E+41
57940.9,55.2,2.00E+42,5.35E+41,5.35E+41
57942.91,57.21,1.99E+42,6.02E+41,6.02E+41
57945.9,60.2,1.99E+42,6.56E+41,6.56E+41
57947.9,62.2,1.97E+42,6.08E+41,6.08E+41
57951.92,66.22,1.93E+42,4.38E+41,4.38E+41
57952.9,67.2,1.91E+42,2.58E+41,2.58E+41
57956.9,71.2,1.87E+42,5.68E+41,5.68E+41
57957.94,72.24,1.87E+42,6.30E+41,6.30E+41
57959.87,74.17,1.87E+42,5.91E+41,5.91E+41
57961.96,76.26,1.89E+42,3.93E+41,3.93E+41
57962.86,77.16,1.90E+42,5.24E+41,5.24E+41
57964.86,79.16,1.84E+42,2.29E+41,2.29E+41
57965.94,80.24,1.82E+42,2.27E+41,2.27E+41
57966.92,81.22,1.83E+42,2.28E+41,2.28E+41
57967.87,82.17,1.75E+42,5.64E+41,5.64E+41
57968.88,83.18,1.80E+42,4.15E+41,4.15E+41
57970.89,85.19,1.75E+42,5.69E+41,5.69E+41
57972.88,87.18,1.71E+42,4.27E+41,4.27E+41
57973.86,88.16,1.73E+42,4.83E+41,4.83E+41
57974.86,89.16,1.71E+42,4.78E+41,4.78E+41
57976,90.3,1.73E+42,4.47E+41,4.47E+41
57980.02,94.32,1.57E+42,4.44E+41,4.44E+41
57982.84,97.14,1.56E+42,3.90E+41,3.90E+41
57983.85,98.15,1.53E+42,3.53E+41,3.53E+41
57986.86,101.16,1.49E+42,3.52E+41,3.52E+41
57987.92,102.22,1.38E+42,1.93E+41,1.93E+41
57988.84,103.14,1.41E+42,3.41E+41,3.41E+41
57993.81,108.11,1.20E+42,3.20E+41,3.20E+41
57994.88,109.18,1.26E+42,4.21E+41,4.21E+41
57995.88,110.18,1.14E+42,3.76E+41,3.76E+41
58000.83,115.13,9.29E+41,3.04E+41,3.04E+41
58006.81,121.11,4.63E+41,1.45E+41,1.45E+41
58022.92,137.22,3.84E+41,7.13E+39,7.13E+39
58023.92,138.22,3.77E+41,7.00E+39,7.00E+39
58024.82,139.12,3.67E+41,6.83E+39,6.83E+39
58025.8,140.1,3.58E+41,6.66E+39,6.66E+39
58026.88,141.18,3.56E+41,6.61E+39,6.61E+39
58027.83,142.13,3.38E+41,6.29E+39,6.29E+39
58032.75,147.05,3.40E+41,6.33E+39,6.33E+39
58035.75,150.05,3.17E+41,5.89E+39,5.89E+39
58040.81,155.11,3.13E+41,5.83E+39,5.83E+39
58041.84,156.14,3.08E+41,5.73E+39,5.73E+39
58044.79,159.09,3.11E+41,5.79E+39,5.79E+39
58046.72,161.02,3.01E+41,5.59E+39,5.59E+39
58050.7,165,2.92E+41,5.44E+39,5.44E+39
